"","method","survey_year","island","species","MPA","REF","log_ratio"
"1","BRUV",2019,"Anacapa","bm_nontargeted",0.106158538429289,0.169358359857861,-0.202851708516503
"2","BRUV",2019,"Anacapa","bm_targeted",3.65424996700072,2.33335627652453,0.194817196110004
"3","BRUV",2019,"Anacapa","bm_AAFF",0.0068446098578609,0.0068446098578609,0
"4","BRUV",2019,"Anacapa","bm_AARG",0.0068446098578609,0.0068446098578609,0
"5","BRUV",2019,"Anacapa","bm_ADAV",0.0068446098578609,0.0068446098578609,0
"6","BRUV",2019,"Anacapa","bm_AFLA",0.0068446098578609,0.0068446098578609,0
"7","BRUV",2019,"Anacapa","bm_AGUA",0.0068446098578609,0.0068446098578609,0
"8","BRUV",2019,"Anacapa","bm_AHAR",0.0068446098578609,0.0068446098578609,0
"9","BRUV",2019,"Anacapa","bm_AHOL",0.0068446098578609,0.0068446098578609,0
"10","BRUV",2019,"Anacapa","bm_AINE",0.0068446098578609,0.0068446098578609,0
"11","BRUV",2019,"Anacapa","bm_ANOB",0.0068446098578609,0.0068446098578609,0
"12","BRUV",2019,"Anacapa","bm_AOCE",0.0068446098578609,0.0068446098578609,0
"13","BRUV",2019,"Anacapa","bm_APFL",0.0068446098578609,0.0068446098578609,0
"14","BRUV",2019,"Anacapa","bm_ATHE",0.0068446098578609,0.0068446098578609,0
"15","BRUV",2019,"Anacapa","bm_ATHESPP",0.0068446098578609,0.0068446098578609,0
"16","BRUV",2019,"Anacapa","bm_AVUL",0.0068446098578609,0.0068446098578609,0
"17","BRUV",2019,"Anacapa","bm_BAITBALL",0.0068446098578609,0.0068446098578609,0
"18","BRUV",2019,"Anacapa","bm_BATH",0.0068446098578609,0.0068446098578609,0
"19","BRUV",2019,"Anacapa","bm_BFRE",0.0068446098578609,0.0068446098578609,0
"20","BRUV",2019,"Anacapa","bm_BFREYOY",0.0068446098578609,0.0068446098578609,0
"21","BRUV",2019,"Anacapa","bm_BOTH",0.0068446098578609,0.0068446098578609,0
"22","BRUV",2019,"Anacapa","bm_BPOL",0.0068446098578609,0.0068446098578609,0
"23","BRUV",2019,"Anacapa","bm_BRAY",0.0068446098578609,0.0068446098578609,0
"24","BRUV",2019,"Anacapa","bm_CAGG",0.0068446098578609,0.0068446098578609,0
"25","BRUV",2019,"Anacapa","bm_CGIG",0.0068446098578609,0.0068446098578609,0
"26","BRUV",2019,"Anacapa","bm_CITH",0.0068446098578609,0.0068446098578609,0
"27","BRUV",2019,"Anacapa","bm_CITHSPP",0.0068446098578609,0.0068446098578609,0
"28","BRUV",2019,"Anacapa","bm_CLUP",0.0068446098578609,0.0068446098578609,0
"29","BRUV",2019,"Anacapa","bm_COBS",0.0068446098578609,0.0068446098578609,0
"30","BRUV",2019,"Anacapa","bm_COTSP",0.0068446098578609,0.0068446098578609,0
"31","BRUV",2019,"Anacapa","bm_CPRI",3.04293960985786,1.45353710985786,0.320867209339273
"32","BRUV",2019,"Anacapa","bm_CPUN",0.0302196098578609,0.120703776524528,-0.601432005119759
"33","BRUV",2019,"Anacapa","bm_CPUNYOY",0.0068446098578609,0.0068446098578609,0
"34","BRUV",2019,"Anacapa","bm_CSAT",0.0068446098578609,0.0068446098578609,0
"35","BRUV",2019,"Anacapa","bm_CSOR",0.0468706812864323,0.0177116931911942,0.422641185649034
"36","BRUV",2019,"Anacapa","bm_CSTI",0.0068446098578609,0.0068446098578609,0
"37","BRUV",2019,"Anacapa","bm_CVEN",0.0068446098578609,0.0068446098578609,0
"38","BRUV",2019,"Anacapa","bm_CVIO",0.0068446098578609,0.0068446098578609,0
"39","BRUV",2019,"Anacapa","bm_CXAN",0.0068446098578609,0.0068446098578609,0
"40","BRUV",2019,"Anacapa","bm_DMAC",0.0068446098578609,0.0068446098578609,0
"41","BRUV",2019,"Anacapa","bm_EBIS",0.0068446098578609,0.0068446098578609,0
"42","BRUV",2019,"Anacapa","bm_EJAC",0.0068446098578609,0.0068446098578609,0
"43","BRUV",2019,"Anacapa","bm_EJOR",0.0068446098578609,0.0068446098578609,0
"44","BRUV",2019,"Anacapa","bm_ELAT",0.0068446098578609,0.0068446098578609,0
"45","BRUV",2019,"Anacapa","bm_EMBI",0.0068446098578609,0.0068446098578609,0
"46","BRUV",2019,"Anacapa","bm_EMOR",0.0068446098578609,0.0068446098578609,0
"47","BRUV",2019,"Anacapa","bm_ETAU",0.0068446098578609,0.0068446098578609,0
"48","BRUV",2019,"Anacapa","bm_EWAL",0.0068446098578609,0.0068446098578609,0
"49","BRUV",2019,"Anacapa","bm_GBY",0.0068446098578609,0.0068446098578609,0
"50","BRUV",2019,"Anacapa","bm_GGAL",0.0068446098578609,0.0068446098578609,0
